Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Za Każdą Chwilę z Tobą","Weekend","Ona Tańczy Dla Mnie","Accordion's Joy","Playlist","PLH031200002","2GKoUGVoLw3ToJMsgONvjx"
"Miliony monet","Mrozu","Miliony monet","Accordion's Joy","Playlist","PLI368258560","22aX22yMFdiiVC1a3Etac2"
"Prawy Do Lewego","Kayah","Kayah & Bregovic","Accordion's Joy","Playlist","PLA339900042","5qJxjjK0Oa82E2b10fSIyY"
"Ile Dać Mam","MODELKI","Ile Dać Mam","Accordion's Joy","Playlist","PLUM72400311","3gvJeMSwp2UUnibGpmdIhh"
"Czerwone Korale","Brathanki","Gwiazdy XX Wieku","Accordion's Joy","Playlist","PLA149923002","0ETkRDuyDSI06f5qo5KkxU"
"Dałem Ci Kwiaty","Weekend","Weekend - Największe hity Disco Polo","Accordion's Joy","Playlist","PLH031600068","7zqaVsJbKwB5NPD3a6Tvw0"
"Rapapara","Łydka Grubasa","Perpetuum Debile","Accordion's Joy","Playlist","PLV391700030","45wl4Wfcfbzs0QVdP6EcjN"
"Z Tobą Nie Umiem Wygrać","Ania Dąbrowska","Z Tobą Nie Umiem Wygrać","Accordion's Joy","Playlist","PLB381700804","4SDTgdnpGs2CH27ECddcAu"
"Jeszcze raz - Radio Edit","Defis","Jeszcze raz (Radio Edit)","Accordion's Joy","Playlist","FRX762197908","6IyZKnllU9P4waUyMSX8pn"
"Chyba że z Tobą","MODELKI","Chyba że z Tobą","Accordion's Joy","Playlist","PLUM72400116","0peRfvtx1Je91FxQtii5DJ"
"Ona Tańczy Dla Mnie","Weekend","Ona Tańczy Dla Mnie","Accordion's Joy","Playlist","PLH031200001","2Wq2R59KXY8mW7sYGccrKA"
"Co Z Nami Będzie","Sylwia Grzeszczak","Ona i on","Accordion's Joy","Playlist","PLC060900401","5E9HMP6VfMIOjCLnDBG6FW"
"Ta Malutka Blondynka","Mig","Lalunia","Accordion's Joy","Playlist","TCACQ1633076","2UV8wfeua4QwN1sLItjjmn"
"Tańcz tańcz tańcz - Radio Edit","Long & Junior","Tańcz tańcz tańcz (Radio Edit)","Accordion's Joy","Playlist","PLI360783970","75TfM4bQZWC1jyBIp9IAJq"
"Niespotykany kolor - Radio Edit","Defis","Niespotykany kolor (Radio Edit)","Accordion's Joy","Playlist","FRX762169932","0Cwqr39YjDfLWDs7f8mcMO"
"Jesteś Zajebista","Weekend","Tak jak Czuję","Accordion's Joy","Playlist","PLH751300032","5vkc7x8DJOu5wGme6Pixrf"
"Trochę Za Blisko","MODELKI","Trochę Za Blisko","Accordion's Joy","Playlist","PLUM72400484","6SpeBDnkgYdkFYy5AEW2Oz"
"Pożyczony","Sylwia Grzeszczak","Komponując siebie","Accordion's Joy","Playlist","PLC271300022","7onUvYBp5tbg0GMPYI2yvH"
"Zawsze tam gdzie Ty","Lady Pank","Zawsze tam gdzie Ty","Accordion's Joy","Playlist","PLB170702755","1f3C0tSFKsjcflvMCa3X27"
"Słodka Wariatka","Mig","Wymarzona","Accordion's Joy","Playlist","TCACT1666935","0xSmzQr6liINdw3EmNVhxQ"
"Karolina","Weekend","Karolina","Accordion's Joy","Playlist","PLH751300362","38a13PTdiHOqFWAIl5glCA"
"Tak bardzo tego chcę - Radio Edit","Defis","Tak bardzo tego chcę (Radio Edit)","Accordion's Joy","Playlist","FRX762169934","26tyJU2RljU0AtGeoJExFC"
"Moja panienka","LEREK","Bo Bez Ciebie","Accordion's Joy","Playlist","PLB570500129","73BOj5vcF0mBHWpT52AE5M"
"Sen o przyszłości","Sylwia Grzeszczak","Sen o przyszłości","Accordion's Joy","Playlist","PLC271100009","5Tyz6KegQ3PAg5ShPTHoDH"
"Powiedz","Ich Troje","Ad.4","Accordion's Joy","Playlist","PLUM70800303","3ntFHnnjthR8F6xr42KXTC"
"Zostań na Noc","Weekend","Weekend - Największe hity Disco Polo","Accordion's Joy","Playlist","PLH031400046","3tDb5e7SjroTUY30vCIpb2"
"Lalunia","Mig","Lalunia","Accordion's Joy","Playlist","TCADE1793812","3iLLbghHCNxfrdxmuT5MBA"
"To Złamane Serce","Defis","To Złamane Serce","Accordion's Joy","Playlist","TCACS1622395","7huB7pTCQLRGaBIxQF8i66"
"JEDEN TANIEC JEDNA NOC","MiłyPan","JEDEN TANIEC JEDNA NOC","Accordion's Joy","Playlist","FR96X2221162","27ZEr3LW65VzLeBHuvtkdC"
"Male rzeczy","Sylwia Grzeszczak","Sen o przyszłości","Accordion's Joy","Playlist","PLC271100016","49ZeX1Mfls6dP6dm4OyWQP"
"Słodka Jak Cukierek","Weekend","Słodka Jak Cukierek","Accordion's Joy","Playlist","PLH031900081","79EvE4xCeWpvNKXicLOPj0"
